ano,mes,data,regiao,uf,cidade,bairro,tipo_imovel,area_m2,quartos,vagas_garagem,preco_imovel,preco_m2,renda_media,taxa_juros,nivel_preco
2015,1,2015-01-01,Norte,AM,Manaus,Boa Vista,Casa,162,4,3,696835.01,3946.5,2069.62,13.92,Luxo
2015,1,2015-01-01,Norte,PA,Belém,Boa Vista,Studio,46,3,2,299378.31,9805.85,2977.65,11.1,Baixo
2015,1,2015-01-01,Norte,PA,Santarém,Centro,Cobertura,159,2,1,324224.24,17435.31,4546.93,11.88,Baixo
2015,1,2015-01-01,Norte,RO,Porto Velho,Boa Vista,Studio,104,4,2,149498.43,14149.33,4208.43,7.06,Médio
2015,1,2015-01-01,Norte,TO,Palmas,Boa Vista,Studio,182,0,3,283616.71,9447.97,2753.91,8.64,Baixo
2015,1,2015-01-01,Nordeste,BA,Salvador,Boa Vista,Apartamento,211,0,0,660874.02,9668.67,4567.09,10.06,Baixo
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,Vila Nova,Studio,106,3,3,439073.19,6436.19,3783.62,8.22,Médio
2015,1,2015-01-01,Nordeste,PE,Recife,Vila Nova,Cobertura,136,1,3,299276.54,11512.82,3230.36,8.83,Luxo
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,Boa Vista,Cobertura,192,3,2,624559.85,14487.33,3819.01,9.01,Baixo
2015,1,2015-01-01,Nordeste,CE,Fortaleza,Centro,Apartamento,211,1,2,376865.25,7102.92,2399.03,9.07,Médio
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,Centro,Casa,219,3,3,150883.93,11246.83,4163.23,9.13,Baixo
2015,1,2015-01-01,Nordeste,MA,São Luís,Centro,Apartamento,125,2,0,722811.86,16471.82,3798.04,13.95,Luxo
2015,1,2015-01-01,Nordeste,PB,João Pessoa,Vila Nova,Sala Comercial,63,1,3,417403.25,8272.05,3109.08,7.09,Baixo
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,Boa Vista,Casa,84,3,2,800642.07,9665.15,2821.87,13.07,Luxo
